Date,Scaled_Return,Conditional_Volatility
2016-02-06,0.29312499999999997,0.37276696016318434
2016-02-08,0.2095061,0.3692686739962732
2016-02-09,0.0851454,0.3592976342481736
2016-02-11,0.077696,0.34031886787798077
2016-02-12,-0.1948386,0.3223463302271737
2016-02-15,-0.19857080000000002,0.316820438916329
2016-02-16,0.0157097,0.31209095158515016
2016-02-17,0.6134499,0.2916373827192528
2016-02-18,-0.40973930000000003,0.323129230324175
2016-02-19,0.6003213000000001,0.33710011065218876
2016-02-22,-0.1596199,0.36298534423011153
2016-02-23,-0.243129,0.35093192530560435
2016-02-24,0.5669048,0.34725061331476714
2016-02-25,-0.297991,0.36922104987210036
2016-02-26,0.092699,0.3688562704930487
2016-02-29,-0.0154361,0.3496629953906842
2016-03-02,0.33953540000000004,0.32641333808043804
2016-03-03,-0.19871429999999998,0.3307829277448347
2016-03-05,0.1997525,0.32488583190253767
2016-03-06,-0.130615,0.31789927284830016
2016-03-08,0.06961139999999999,0.30712004161717965
2016-03-11,-0.0932519,0.2912608890212983
2016-03-14,-0.1377536,0.2794455312667615
2016-03-15,0.2697983,0.27246620877352623
2016-03-16,0.1894417,0.27564066301862095
2016-03-17,-0.5548645,0.27192606437309863
2016-03-18,-0.27208509999999997,0.30482532187105904
2016-03-21,0.1442574,0.3077046764589217
2016-03-22,-0.2943655,0.2976975972719994
2016-03-23,-0.6656192,0.3032214687577931
2016-03-24,0.48803739999999995,0.34413434955416344
2016-03-25,0.21515750000000003,0.3595346224184579
2016-03-28,-0.10206690000000002,0.35085045267367176
2016-03-29,-0.3781195,0.33485239230146496
2016-03-30,-0.4745839,0.34482439025216016
2016-03-31,-0.4077912,0.36291883167395955
2016-04-01,0.317575,0.37311624760514006
2016-04-02,-0.9218617,0.3715914764586126
2016-04-03,-0.147005,0.43146130369130525
2016-04-04,-0.2344225,0.4124348521768037
2016-04-05,0.5938035,0.4026539913901224
2016-04-07,0.0217473,0.4217512325005096
2016-04-08,-0.1178693,0.39256198410073706
2016-04-10,-0.2152967,0.37438472245781673
2016-04-11,0.0984267,0.36622345419888996
2016-04-13,-0.3023333,0.3477007578610608
2016-04-14,0.4304685,0.34960792912382105
2016-04-15,0.0222458,0.3595880661999738
2016-04-18,0.3157713,0.3357041605368059
2016-04-19,-0.4271147,0.3372874924430735
2016-04-20,-0.2403592,0.35160355140460314
2016-04-21,0.07840259999999999,0.3476181853375831
2016-04-22,0.2510541,0.32909157318020016
2016-04-25,0.1111154,0.3259160651010821
2016-04-26,0.2600077,0.3117670057786384
2016-04-27,-0.0607135,0.31080044298378173
2016-04-28,-0.1604708,0.2945945408157
2016-04-29,-0.1388144,0.2883608445779476
2016-05-01,0.1904364,0.2807418230357308
2016-05-02,-0.09432070000000001,0.27668654657764485
2016-05-04,0.4509733,0.2661510347955865
2016-05-05,0.2884603,0.2854508547853637
2016-05-07,0.0597491,0.28908224010820216
2016-05-08,-0.1020543,0.27392423739526167
2016-05-09,-0.1064578,0.264282741534421
2016-05-10,0.1733713,0.2558050736919888
2016-05-12,0.014643300000000001,0.252409970684304
2016-05-13,0.0107846,0.23668542974242818
2016-05-16,0.0861803,0.2219018224197758
2016-05-17,-0.2319983,0.21419332917651734
2016-05-18,0.2266171,0.22105828811395423
2016-05-19,0.48166240000000005,0.2249022648774322
2016-05-20,-0.00532,0.25083844769409547
2016-05-23,-0.12259930000000001,0.23477866319628599
2016-05-24,0.5358126000000001,0.23008642967692736
2016-05-25,-0.13201249999999998,0.26053448677208585
2016-05-26,-0.2492752,0.2545946350861026
2016-05-27,0.0319021,0.25966811072792706
2016-05-30,0.25437699999999996,0.2447055868222734
2016-05-31,0.1055522,0.24892118197486748
2016-06-01,0.2691917,0.2406159016676171
2016-06-04,-0.0720637,0.24642173089806
2016-06-05,0.0704628,0.23639719205096152
2016-06-06,-0.468204,0.22630162158497444
2016-06-09,0.053261499999999996,0.2549961097249607
2016-06-10,-0.0839724,0.2420728472320827
2016-06-12,-0.053716099999999996,0.233423836924097
2016-06-13,0.25531159999999997,0.2228491467483986
2016-06-14,-0.0212187,0.22896595134794673
2016-06-15,0.0901081,0.2159683213455541
2016-06-16,-0.0529821,0.209037752981179
2016-06-17,0.0264991,0.20030258091263675
2016-06-20,-0.2284228,0.1895575505499992
2016-06-21,-0.22963060000000002,0.19813567797350337
